name,url,category,subcategory,instructors,description,enrollment,views,rating,raters
Become a CBRS Certified Professional Installer by Google,https://www.coursera.org/learn/google-cbrs-cpi-training,Information Technology,Networking,Google,"This six-module program, developed by Google, will train you to be a Certificated Professional Installer (CPI) of radios which utilize the Citizens Broadband Radio Service (CBRS) band to provide communications infrastructure. You can expect to leave this training with the skills you need to get started as a Certified Professional Installer. 

Through a mix of video lectures, step-by-step explanations, and quizzes, the program will introduce you to CBRS terminology and concepts, the role of a CPI, and how to fulfill your responsibilities to determine installation parameters, provide information to the Spectrum Access System (SAS), and troubleshoot. Upon completing the course and passing the online certification exam, you will receive your CPI credentials and your information will be automatically registered with WinnForum.

If you want to learn about CBRS in general, but don’t need to be certified, check out our CBRS Professional Training course <coursera.org/learn/google-cbrs-professional-training>.",2422.0,16774.0,4.6,163.0
Build a Small Simulated Network With Cisco Packet Tracker,https://www.coursera.org/learn/build-a-small-simulated-network,Information Technology,Networking,Hussam El Aassar,"By the end of this project, you will create a small simulated network from scratch using Cisco Packet Tracer. You will be able to identify the basic fundamentals of computer networking and the very basic architecture behind the network devices (Routers and Switches). Moreover, you will learn and practice how to get all these devices and components connected together.  Finally, you will be able to troubleshoot the issues and write some basic commands to get the network fully functioning. The skills gained from this project are very essential in the computer networking field.

Note: This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.",,,4.5,13.0
Búsqueda avanzada y verificación de información,https://www.coursera.org/learn/busqueda-avanzada-y-verificacion-de-informacion,Information Technology,Networking,MANUEL SANTIAGO AGUILAR GUTIERREZ,"Este curso trata de facilitar una serie de competencias y destrezas necesarias para combatir la desinformación y así afrontar mejor los desafíos que plantea la era digital. Desarrollar unas habilidades esenciales a la hora de buscar información por medio de Internet mediante el uso de herramientas audiovisuales, recursos digitales, aplicaciones y programas, sin olvidar las fuentes humanas directas, para contrastar los materiales que circulan por las redes sociales.",,2194.0,,
CBRS Professional Training,https://www.coursera.org/learn/google-cbrs-professional-training,Information Technology,Networking,Google,"This course, developed by Google, is for installers and network managers who work with Certified Professional Installers. 

Through a mix of video lectures, step-by-step explanations, and quizzes, the program will introduce you to the concept of shared spectrum and the components of the CBRS ecosystem. At the end of this training you will receive a course completion certificate.

If you want to become a Certified Professional Installer, check out the Become a CBRS Certified Professional Installer (CPI Package) course https://www.coursera.org/learn/google-cbrs-cpi-training.",,,,
Cloud-Based Network Design & Management Techniques,https://www.coursera.org/learn/cloud-based-network-design-and-management,Information Technology,Networking,Aruba Education Services,"This 2-part eLearning course builds an understanding of modern cloud-network design and management techniques, crystalizing lofty ideas of ""cloud"" and ""edge"" so you can embrace the latest industry trends and best-practices.

A successful modern network architect requires a keen understanding of business requirements, network components, and the challenges of architecting good solutions. In the 1-hour Aruba Modern Cloud Network Design course you’ll get a high level overview of key network design topics trending in the Edge era. 

The devices we manage constantly evolve as new protocols, security mechanisms, and redundancy solutions emerge; and so the techniques we use to manage these dynamic systems must respond to and even anticipate this changing landscape. In the Modern Cloud Network Management Techniques 1-hour course you’ll learn about key aspects of the network management journey and the newer technologies and techniques to help you embrace the Edge. Learn about the network management challenges that drive new technologies, get familiar with classic Network Management System (NMS) tools, and learn about the modern NMS tools like Aruba ESP developed to reduce overhead, speed diagnosis, and improve situational awareness. 

Typical candidates for this course are IT Professionals and/or Network Engineers who want to learn about Aruba’s modern approach to network design.",,,4.7,10.0
Competencias y recursos básicos para entornos digitales,https://www.coursera.org/learn/competencias-recursos-entornos-digitales,Information Technology,Networking,"Pedro Soler Rojas, Ignacio Navarro Nozal","Este curso está dirigido no solo a profesionales de los los medios de comunicación, sino también a cualquier persona interesada en manejarse con fluidez en el actual entrono digital. Aprenderás habilidades esenciales para utilizar herramientas, programas y aplicaciones  de carácter audiovisual que te facilitarán hacer uso de las redes sociales con seguridad cualquiera que sea tu edad o formación.",,2774.0,,
Configure Dynamic Routing with RIP in Packet Tracer,https://www.coursera.org/learn/configure-dynamic-routing-with-rip-in-packet-tracer,Information Technology,Networking,Priya Jha,"In this 1-hour long project-based course, you will learn how to Design, Create and Configure Network topology using Packet Tracer. You will learn to configure Dynamic Routing using the Routing Information Protocol (RIP v1). You will get an Introduction to Packet Tracer and different components available in Packet Tracer. You will learn to configure your devices both using the Command line and GUI. You will also learn to trace the packets over different networks and you will learn to stimulate your network topology in the simulation mode.

Basics of Networking is recommended.


Note: This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.",,,,
Configure Standard Access Lists on Cisco Routers,https://www.coursera.org/learn/configure-standard-acl-cisco-routers,Information Technology,Networking,Mohammed Al M.,"Welcome to the CCNA 1.8: Configuring Standard Access Lists (ACLs) on Cisco routers. This project is the eighth in a CCNA learning series that is designed to help you acquire the hands-on skills required to pass the CCNA certification exam. 

In this 2-hour guided project, you will identify the difference between standard inbound and outbound Access Control Lists (ACLs), configure inbound and outbound ACLs on Cisco routers, and setup ACLs to permit exclusive traffic on Cisco routers.",,,,
Configure VLANs on Cisco Switches,https://www.coursera.org/learn/configure-vlans-cisco-switches,Information Technology,Networking,Mohammed Al M.,"Welcome to the CCNA 1.4: Configuring VLANs on Cisco Switches. This project is the fourth in the guided-projects series that is designed to help you acquire the hands-on skills required to pass the CCNA certification exam.

In this 2-hour guided project, you will create virtual LANs on Cisco switches and assign switch ports to them, you set up data and voice VLANS, verify VLANS settings, delete VLANs, and set up VLANs routing.",,,4.9,34.0
Configure and Test Basic Network Connectivity,https://www.coursera.org/learn/configure-test-basic-network-connectivity-ccna-1-2,Information Technology,Networking,Mohammed Al M.,"Welcome to this guided project about Configuring and Testing Basic Network Connectivity
This project is designed for IT security professionals and aspiring network engineers.

To succeed in this project, it’s recommended to have a good background in computer networks.
A Cisco networking academy ID is also required to use the Packet Tracer in this project.

In this project, you will configure and test basic network connectivity by managing configuration on Cisco devices such as IP addresses, virtual interfaces, and DHCP servers and verifying end-to-end network connectivity.

By the end of this project, you will be able to configure small-size computer networks and test their end-to-end connectivity. 

This project is one of a kind because it teaches foundational computer network skills to beginners and professionals alike. Moreover, it is based on an entirely simulated environment where learners can practice as if they have access to real devices.",2576.0,,4.5,60.0
Configure and Verify EIGRP,https://www.coursera.org/learn/configure-verify-eigrp,Information Technology,Networking,Mohammed Al M.,"Welcome to the CCNA 1.7: Configuring and Verifying EIGRP. This project is the seventh in a CCNA learning series that is designed to help you acquire the hands-on skills required to pass the CCNA certification exam.

In this 2-hour guided project, you will configure EIGRP on Cisco routers, troubleshoot EIGRP connectivity, and verify EIGRP routes on Cisco routers.",,,,
Configure and Verify NAT on Cisco routers,https://www.coursera.org/learn/configure-verify-nat-cisco-routers,Information Technology,Networking,Mohammed Al M.,"Welcome to the CCNA 1.9: Configure and Verify NAT on Cisco routers. This project is the ninth in a CCNA learning series that is designed to help you acquire the hands-on skills required to pass the CCNA certification exam. 

In this 2-hour guided project, you will configure static and dynamic Network Address Translation (NAT) on Cisco routers, you will also setup NAT overloading with Port Address Translation (PAT), and verify NAT configuration on Cisco routers.",,,,
Configure and Verify OSPF Operation,https://www.coursera.org/learn/configure-verify-ospf-operation,Information Technology,Networking,Mohammed Al M.,"Welcome to the CCNA 1.6: Configuring and Verifying OSPF operation. This project is the sixth in a CCNA learning series that is designed to help you acquire the hands-on skills required to pass the CCNA certification exam.

In this 2-hour guided project, you will setup OSPF on Cisco routers, configure OSPF router ID and priority to influence OSPF operation, set up unequal path load balancing, and verify OSPF configuration and operation.",,,,
Configure and verify PPP and Frame Relay on Cisco Routers,https://www.coursera.org/learn/configure-verify-ppp-frame-relay-cisco-routers,Information Technology,Networking,Mohammed Al M.,"Welcome to the CCNA 1.10: Configure and Verify PPP and Frame Relay on Cisco Routers, In this guided project, you will configure and verify WAN connections on Cisco routers, you will setup PPP connection and authentication, configure and verify frame-relay, and setup frame-relay sub-interfaces.",,,,
Connecting to Devices and Networks,https://www.coursera.org/learn/codio-connecting-to-devices-and-networks,Information Technology,Networking,"Elise Deitrick, Chalece DeLaCoudray","Practice managing devices and networks without installing anything!

This course is designed for learners with no technical experience, providing a solid foundation of connecting to devices and networks. Learners will gain hands-on practice on an Ubuntu system that can be easily transferred to other Unix-based operating systems. The modules in this course cover managing devices and partitions, basic networking tools and name resolution, and securely transferring data over networks to create backups. 

To allow for a truly hands-on, self-paced learning experience, this course is video-free. Assignments contain short explanations with images and runnable examples with suggested edits to explore examples further, building a deeper understanding by doing. You'll benefit from instant feedback from a variety of assessment items along the way, gently progressing from quick understanding checks (multiple choice, fill in the blank, and un-scrambling code blocks) to small, approachable exercises that take minutes instead of hours.",,,,
Crea una Organización Autónoma Descentralizada en Ethereum,https://www.coursera.org/learn/dao-ethereum,Information Technology,Networking,Nestor Nicolas Campos Rojas,"En este proyecto, vamos a entender sobre las organizaciones autónomas descentralizadas (DAO) y cómo podemos crear una con la red blockchain Ethereum",,,,
Creando una aplicación con Stellar SDK,https://www.coursera.org/learn/creando-stellar-sdk,Information Technology,Networking,Nestor Nicolas Campos Rojas,"En este proyecto, vamos a crear una aplicación que se pueda conectar con Blockchain mediante el SDK en Javascript para la red Stellar.",,,,
Creando una aplicación descentralizada con Javascript,https://www.coursera.org/learn/dapp-javascript,Information Technology,Networking,Nestor Nicolas Campos Rojas,"En este proyecto, usaremos CaverJS y Covalent para crear una wallet para la blockchain Klaytn.",,,,
Create a fundraising page on Chuffed,https://www.coursera.org/learn/create-fundraising-page-chuffed,Information Technology,Networking,Delphine Sangotokun,"At the end of this project, you will learn how to create a fundraising page on Chuffed for a collaborative project for personal or professional purposes.
This Guided Project is an introduction to Chuffed and is designed for people who want to have their own fundraising page for a nonprofit, charity, social enterprise, community project, or someone in need.
Chuffed offers an online platform to create a fundraiser, large or small, with no set-up fees by the platform. Moreover, Chuffed offers possibilities to develop a fundraising page site with many functionalities and aesthetic characteristics.
After completing this project, you will be able to create a fundraising page, select and modify the main features offered on the platform, define your financial and participatory goals and the rewards potentially offered to your contributors. Chuffed is a simple and free platform that provides extraordinary online advertising for your collaborative project.

This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions",,,,
Creating an Instance with Multiple Network Interfaces,https://www.coursera.org/learn/googlecloud-creating-an-instance-with-multiple-network-interfaces-lswvh,Information Technology,Networking,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
Créer une page de collecte de fonds sur Chuffed,https://www.coursera.org/learn/creer-page-collecte-fonds-chuffed,Information Technology,Networking,Delphine Sangotokun,"À la fin de ce projet, vous apprendrez à créer une page de collecte de fonds sur Chuffed pour un projet collaboratif à des fins personnelles ou professionnelles.
Ce projet guidé est une introduction à Chuffed et est conçu pour les personnes qui souhaitent avoir leur propre page de collecte de fonds pour un projet à but non lucratif, caritatif, pour supporter une entreprise sociale, un projet communautaire ou une personne dans le besoin.
Chuffed offre une plateforme en ligne pour créer une collecte de fonds, à petite ou grande échelle, sans frais de mise en place par la plateforme. De plus, Chuffed offre des possibilités de développer un site page de collecte de fonds avec de nombreuses fonctionnalités et caractéristiques esthétiques.  
Après avoir terminé ce projet, vous pourrez créer une page de collecte de fond, sélectionner et modifier les principales fonctionnalités offertes sur la plateforme, définir vos buts financiers et participatifs et les récompenses potentiellement offertes à vos contributeurs. Chuffed est une plateforme simple et gratuite qui fournit une publicité en ligne extraordinaire à votre projet collaboratif et participatif.

This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions",,,,
Custom Providers with Terraform,https://www.coursera.org/learn/googlecloud-custom-providers-with-terraform-adqwp,Information Technology,Networking,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
Customize Network Topology with Subnetworks,https://www.coursera.org/learn/googlecloud-customize-network-topology-with-subnetworks-gwnhz,Information Technology,Networking,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
Data Forwarding Across Computer Networks,https://www.coursera.org/learn/data-forwarding-computer-networks,Information Technology,Networking,Mohammed Al M.,"Welcome to the CCNA 1.3: Data Forwarding Across Computer Networks. This project is the third in the guided-projects series that is designed to help you acquire the hands-on skills required to pass the CCNA certification exam.

In this 2-hours guided project, you will  understand how data is forwarded across computer networks, configure default and static routes on Cisco routers, set up dynamic routing using OSPF routing protocol, and verify and trace network routes.",,,4.7,33.0
Deploy Microsoft SQL Server to Compute Engine,https://www.coursera.org/learn/googlecloud-deploy-microsoft-sql-server-to-compute-engine-4hjgs,Information Technology,Networking,Google Cloud Training ,"We help millions of organizations empower their employees, serve their customers, and build what’s next for their businesses with innovative technology created in—and for—the cloud. Our products are engineered for security, reliability, and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping customers apply our technologies to create success.",,,,
Design and Simulate Smart Home Networks in Packet Tracer,https://www.coursera.org/learn/design-simulate-smart-home-networks-packet-tracer,Information Technology,Networking,Mohammed Al M.,"In this 1-hour long project-based course, you will learn how to design computer networks in logical and physical views, connect IoT devices to create smart home networks, and simulate computer networks operation in real-world environments.",2675.0,,4.6,53.0
Develop a free website with WordPress,https://www.coursera.org/learn/develop-free-website-wordpress,Information Technology,Networking,Delphine Sangotokun,"By the end of this project, you will learn how to develop your free website created in WordPress for personal or commercial purposes. 
This guided project is designed for people who already created their website on WordPress and now want to add pages, creates articles and publish media.
WordPress offers a large variety of free website design and possibilities to develop a commercial website, a blog, a photo gallery, amongst others, allowing you to create an aesthetically pleasing online platform and/or add value to your business marketing.
After completing this project, you will be able to create all the contents that you please, such as a photo gallery or a blog post. WordPress is an easy and free platform that provides all the tools you need to create an organized and visually appealing product while offering potential added customization and tools at a low price. Everything for your website is available on this platform!

This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.",,,,
Die Bits und Bytes von Computernetzwerken,https://www.coursera.org/learn/computer-networking-de,Information Technology,Networking,Google Career Certificates,"Dieser Kurs soll Ihnen einen umfassenden Überblick über das Thema Computernetzwerke bieten. Sie werden die Grundlagen moderner Netzwerktechnologien und -protokolle kennenlernen, einen Überblick über die Cloud erhalten und mehr über praktische Anwendungsfälle und die Behebung von Netzwerkproblemen erfahren. Abschließend werden wir uns ansehen, wie diese Informationen in einem Bewerbungsgespräch auftauchen könnten, und geben Ihnen einige Tipps, wie Sie Netzwerkprobleme im Handumdrehen beheben.

Nach diesem Kurs…
● können Sie Computernetzwerke hinsichtlich des Fünf-Schichten-Modells beschreiben.
● kennen Sie alle Standardprotokolle, die an der TCP/IP-Kommunikation beteiligt sind.
● kennen Sie leistungsstarke Tools und Methoden zur Behebung von Netzwerkproblemen.
● kennen Sie Netzwerkdienste wie DNS und DHCP, die für den Betrieb von Netzwerken erforderlich sind
● wissen Sie, wie Cloud-Computing, Everything as a Service und Cloud-Speicher funktionieren.",,7519.0,4.6,37.0
Développe un site Internet gratuit avec WordPress,https://www.coursera.org/learn/developpe-site-internet-gratuit-wordpress,Information Technology,Networking,Delphine Sangotokun,"À la fin de ce projet, vous apprendrez à développer votre site Web gratuit créé dans WordPress à des fins personnelles ou commerciales.
Ce projet guidé s'adresse aux personnes ayant déjà créé leur site web sur WordPress et souhaitant désormais ajouter des pages, créer des articles et publier des médias.
WordPress offre une grande variété d’options et de possibilités pour la création de sites Web gratuits tels qu’un site commercial, un blog, une galerie de photos, entre autres, vous permettant de créer une plate-forme en ligne esthétique et/ou d'ajouter de la valeur marketing à votre entreprise.
Après avoir terminé ce projet, vous pourrez créer tous les contenus qui vous plaisent, comme une galerie de photos ou un article de blog. WordPress est une plate-forme simple et gratuite qui fournit tous les outils dont vous avez besoin pour créer un produit organisé et visuellement attrayant tout en offrant une personnalisation et des outils supplémentaires potentiels à bas prix. Tout pour votre site web est disponible sur cette plateforme !

This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.",,,,
Estrutura e Funcionamento das Redes de Computadores,https://www.coursera.org/learn/redes-computadores,Information Technology,Networking,Google Career Certificates,"Este curso foi desenvolvido para apresentar uma visão geral completa das redes de computadores. Falaremos sobre vários aspectos, desde os fundamentos das modernas tecnologias e protocolos de rede, passando por uma visão geral da nuvem, até as aplicações práticas e soluções para problemas de rede. Encerraremos discutindo como essas informações podem aparecer em uma entrevista de emprego e apresentando dicas para solução de problemas práticos.

Até o fim deste curso, você conseguirá:
● descrever as redes de computadores de acordo com o modelo de cinco camadas.
● compreender todos os protocolos padrão usados nas comunicações TCP/IP.
● conhecer poderosas ferramentas e técnicas de resolução de problemas de rede.
● aprender sobre serviços de rede como DNS e DHCP, que ajudam a colocar as redes de computadores em funcionamento.
● entender a computação em nuvem, o tudo como serviço e o armazenamento em nuvem.",9410.0,213485.0,4.8,995.0
Getting Started with IPv6,https://www.coursera.org/learn/ip-address-v6,Information Technology,Networking,Harrison Kong,"In this 1 hour guided project, you will learn about IPv6 (IP address version 6). IPv6 is designed to alleviate the limitations of IPv4. As the last blocks of IPv4 addresses were assigned, the transition of the Internet to IPv6 will certainly accelerate. Get yourself ready for the future! In this guided project, you will learn the fundamentals of IPv6 including prefixes, subnetting and basic setup technique for Windows.",,,,
